candidate,text
hillary,"hillary for america campaign manager robby mook took over hillary’s instagram account yesterday to talk about the new phase of the campaign, our organizing strategy and give an inside look at life at hq in brooklyn, ny."
hillary,we can’t let donald j. trump bankrupt america the way he bankrupted his casinos.
hillary,"women's health is an economic issue: every woman deserves access to affordable menstrual products. bravo, new york."
hillary,"when millionaires and billionaires don't pay their fair share, it hurts all of us."
hillary,na
hillary,na
hillary,na
hillary,"“hillary clinton is a proven leader who shares our values.\"" —afl-cio president richard trumka"
hillary,"trump's tax plan would give more back to the 120,000 richest families than it would to 120 million hardworking americans."
hillary,"trump has no real strategy for creating jobs, just a string of empty promises. but then, maybe we shouldn’t expect better from someone whose most famous words are, “you’re fired.”"
hillary,"yesterday, hillary went to flint to hear directly from a community whose concerns have too often been ignored."
hillary,"one new hampshire dad: \""when i vote, it is about my family. and when i vote in this election, it’s absolutely about my daughter.\"
hillary,sending warmest wishes to everyone celebrating the lunar new year! may you have peace and prosperity in the year ahead. -h
hillary,"\""i am here because for nearly two years, flint's water was poisoned.\"
hillary,"as parents, grandparents, aunts, uncles, or siblings, we aren’t just thinking about our own futures—we’re thinking about the kind of future we want the next generations to come into."
hillary,"listen up: the nh primary is tomorrow, and it’s close. we need every single member of hillary’s team to step up, reach out to their friends in the granite state, and let them know why #imwithher. luckily, it’s super easy to do! just click here: hrc.io/findyournhfriends to find your friends who live in new hampshire on facebook, then write them a quick message (get inspired by the example below from hillary for america's marlon marshall)."
hillary,
hillary,"\""hey, new hampshire friend/long-lost cousin/college roommate i haven’t spoken to in forever—"
hillary,
hillary,"i know you’re planning to vote tomorrow, right?!"
hillary,
hillary,"and if you’re still making up your mind about who to vote for, i hope you’ll check out hillary clinton’s positions and see where she stands. i know you’ve always been concerned about college affordability—did you know hillary has a smart, detailed plan for that? it’s one of the reasons i’m working so hard to elect her. you can check it out at hillaryclinton.com."
hillary,
hillary,"no matter who you vote for, make sure you vote! you can find your polling place here."
hillary,
hillary,—marlon marshall\
hillary,"pancakes, coffee, and laughs in manchester, new hampshire."
hillary,na
hillary,see what it looks like when hundreds of granite staters get a pep talk from hillary before heading out in the snow to get out the vote.
hillary,the youngest supporter out door-knocking in snowy new hampshire this weekend? melissa's daughter! sign up for a shift in your neighborhood: hrc.io/volunteer
hillary,it's outrageous that students are being asked to pay interest rates higher than you would pay to buy a house.
hillary,what’s at stake in this election is whether or not we’re going to help every kid reach their potential.
hillary,you take photos.
hillary,"\""she cares. she tries. she perseveres. and now she has a chance to tell the story she’s always wanted about america: the story about a country that found the courage to turn away from our darkest impulses; that chose to embrace our growing diversity as a strength, not a weakness; that pushed the boundaries of opportunity outward and upward, until there are no more barriers, and no more ceilings.\"" —jon favreau, president obama's former speechwriter"
hillary,"talking sexism in the workplace, racial justice, and...perspiration with buzzfeed’s another round."
hillary,"obamacare saved this woman when she needed emergency surgery. let's build on its progress, not start over."
hillary,"south carolinians head to the polls tomorrow, and we need to make sure they know that hillary is fighting for them. share this video with everyone you know. (especially those friends in south carolina—find them here: hrc.io/findfriendssc)"
hillary,"it will take all of us working together to make sure the next president isn’t someone who would repeal the affordable care act, defund planned parenthood, and deny lgbt americans equality. #gopdebate"
hillary,what is happening in flint should spur all of us to action. so proud of these wellesley women.
hillary,"no matter which republican emerges as the nominee, we can’t afford to let him near the white house. add your name if you agree. #gopdebate"
hillary,"on this day in 1917, jeannette rankin took her seat in the u.s. congress, becoming our country’s first woman representative. during her term, jeannette championed women’s suffrage, working mothers, and families. #womenshistorymonth"
hillary,hillary discusses the power of prayer with supporters.
hillary,"we can’t just sit by while the rest of the world pioneers new industries. america can be a leader in clean energy, manufacturing, and infrastructure, and it starts with job creation."
hillary,here's why this mom supports hillary.
hillary,"on this day in 1933, the u.s. senate confirmed frances perkins as secretary of labor, making her the first woman cabinet member. with president franklin delano roosevelt, secretary perkins crafted the blueprint for the new deal and the fair labor standards act, which abolished child labor. #womenshistorymonth"
hillary,#gopdebate
hillary,"instead of shouting about what's wrong with america, let's make it work for everyone. #gopdebate"
hillary,like to welcome will.i.am to team hillary!
hillary,"this week, democrats called for kindness and unity. meanwhile, over in the republican race..."
hillary,"“my hope is that my daughter will not have to dream of being the first anything, because that road will have already been paved by strong women like you.” —heather, mom of 8-year-old alexis"
hillary,na
hillary,the divisive rhetoric and encouragement of violence we're hearing from donald trump isn't just wrong—it's dangerous.
hillary,"“we’re hoping that we can partner with hillary to get some true change for all people.” —maria hamilton, mother of dontre hamilton"
hillary,confused about the democratic primary process? our delegate strategist breaks it down.
hillary,we have to keep families together and reach comprehensive immigration reform with a path to citizenship.
hillary,"while the reagans were strong advocates for stem cell research and finding a cure for alzheimer's disease, i misspoke about their record on hiv and aids. for that, i'm sorry."
hillary,american workers need a president who will go toe-to-toe with corporations on their behalf.
hillary,where you’re born shouldn’t determine how much you learn or how far you can rise. let’s invest in our schools and see diversity in the classroom as the great asset it is. you shouldn’t have to grow up in a wealthy family to learn music or art or gymnastics. every student in every community should have the chance to go as far as their hard work will take them.
hillary,"humbled to stand with these women, who have turned unimaginable grief into a call to action we all need to hear."
hillary,"after law school, working at the children’s defense fund sparked what became a lifelong passion to help children live up to their potential. and that was just the beginning."
hillary,great advice from bill: don't be afraid to fail. -h
