candidate,dimention,",mean"
overal,gender,-3.872105393822683e-16
sanders,gender,0.043198104502260963
ted_cruz,gender,0.64123044747552194
kasich,gender,-0.22816079382275145
carson,gender,0.24641022327779755
fiorina,gender,0.2630760296270519
bush,gender,-0.35040943385375084
martin,gender,-0.048783578278901493
chris,gender,0.051640173945547721
clinton,gender,0.1575097726403335
paul,gender,0.16769694553399034
robio,gender,-0.22816079382275145
trump,gender,-0.28153173350614025
overal,money,-1.1649237940866149e-16
sanders,money,0.82716451296563431
ted_cruz,money,-0.57649681060619817
kasich,money,-0.55994140261320746
carson,money,-0.13736342452188746
fiorina,money,-1.0610659308399077
bush,money,-0.46220885320699751
martin,money,-0.34419517395069982
chris,money,-0.61564328488109477
clinton,money,-0.32725715594564342
paul,money,-0.0067233057137929333
robio,money,-0.55994140261320746
trump,money,0.33185322588432925
overal,swear,-2.7350384730729222e-17
sanders,swear,-0.13519127656613597
ted_cruz,swear,-0.16102872072774557
kasich,swear,-0.20781708589350592
carson,swear,-0.20781708589350592
fiorina,swear,-0.20781708589350592
bush,swear,-0.20781708589350592
martin,swear,-0.032959670526785743
chris,swear,-0.20781708589350592
clinton,swear,0.28671895448371826
paul,swear,0.1678672070365706
robio,swear,-0.20781708589350592
trump,swear,-0.1929641946367377
overal,other_countries_immigrants,-2.7309865642239252e-16
sanders,other_countries_immigrants,-0.073063286615859119
ted_cruz,other_countries_immigrants,-0.16232915856166003
kasich,other_countries_immigrants,0.17562425024018186
carson,other_countries_immigrants,-0.78163441464932126
fiorina,other_countries_immigrants,-0.78163441464932126
bush,other_countries_immigrants,-0.18699540747743373
martin,other_countries_immigrants,0.035336134398309911
chris,other_countries_immigrants,-0.65467052530251335
clinton,other_countries_immigrants,-0.45205134800177843
paul,other_countries_immigrants,-0.18295120315628358
robio,other_countries_immigrants,0.17562425024018186
trump,other_countries_immigrants,0.89206301125447096
overal,race,2.4149376740021651e-16
sanders,race,0.44796950227477744
ted_cruz,race,0.27526059258099178
kasich,race,-0.2681553180078054
carson,race,-0.39306368524120411
fiorina,race,-0.63785965686910429
bush,race,-0.21631403319785805
martin,race,0.647835363403794
chris,race,-0.36242332659419879
clinton,race,-0.23887065294003421
paul,race,0.38593450021888376
robio,race,-0.2681553180078054
trump,race,-0.16752323861354948
